ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
50407,44.454627,26.05949,12-01-2020 23:59,Major,București,București,10,2,4
50405,44.42767,26.091382,12-01-2020 21:34,Major,București,București,10,3,14
50401,44.34149,26.164074,12-01-2020 20:10,Minor,București,Berceni,10,0,5
50400,44.426762,26.024696,12-01-2020 20:14,Minor,București,,10,2,10
50398,44.443311,26.061055,12-01-2020 19:44,Major,București,București,10,1,24
50397,44.434471,26.158019,12-01-2020 19:14,Minor,București,București,10,0,32
50396,44.447004,26.113627,12-01-2020 19:09,Minor,București,București,9,1,6
50395,44.433924,26.067012,12-01-2020 18:59,Major,București,București,10,0,24
50394,44.438556,26.167875,12-01-2020 18:03,Minor,București,București,7,0,2
50393,44.4429,26.156443,12-01-2020 17:59,Major,București,București,10,0,15
50389,44.467116,26.139203,12-01-2020 16:52,Major,București,București,10,2,28
50388,44.408921,26.139627,12-01-2020 16:58,Minor,București,București,8,0,3
50386,44.470969,26.072858,12-01-2020 16:46,Minor,București,București,8,1,2
50383,44.378753,26.091852,12-01-2020 16:03,Minor,București,București,8,1,2
50382,44.437878,26.069455,12-01-2020 15:16,Major,București,București,10,7,50
50380,44.407469,25.989335,12-01-2020 14:53,Minor,București,Bragadiru,6,0,1
50379,44.451419,26.088131,12-01-2020 14:59,Minor,București,București,10,0,16
50378,44.427522,26.035822,12-01-2020 14:36,Major,București,București,6,0,0
50377,44.436851,25.958633,12-01-2020 14:11,Minor,București,,10,0,6
50376,44.453474,26.051082,12-01-2020 14:13,Minor,București,București,7,0,2
50375,44.515724,26.015226,12-01-2020 13:43,Minor,București,București,10,0,11
50374,44.510094,26.02162,12-01-2020 13:26,Minor,București,București,10,2,42
50372,44.475633,26.140247,12-01-2020 13:12,Minor,București,București,6,0,0
50373,44.387576,26.110153,12-01-2020 13:28,Minor,București,București,6,0,1
50370,44.356371,26.035287,12-01-2020 12:03,Major,București,Măgurele,10,1,7
50369,44.466863,26.053471,12-01-2020 12:06,Minor,București,București,10,0,18
50368,44.428439,26.049021,12-01-2020 12:09,Minor,București,București,10,0,4
50367,44.342159,26.165088,12-01-2020 08:14,Minor,București,Popești Leordeni,7,0,3
50365,44.378911,26.000252,12-01-2020 00:08,Major,București,,6,0,0
50366,44.406954,26.095718,12-01-2020 00:41,Minor,București,București,6,0,0
50364,44.521443,26.17368,11-01-2020 23:00,Major,București,,7,0,1
50363,44.45783,26.130504,11-01-2020 23:01,Minor,București,București,9,0,3
50361,44.40063,26.071224,11-01-2020 19:36,Major,București,București,10,0,6
50362,44.487564,26.016929,11-01-2020 19:59,Major,București,București,7,0,1
50360,44.436216,25.966766,11-01-2020 19:13,Minor,București,,6,0,0
50358,44.433849,26.013001,11-01-2020 18:42,Major,București,București,6,0,1
50359,44.432864,26.148136,11-01-2020 19:03,Minor,București,București,10,1,46
50357,44.395306,26.117535,11-01-2020 18:09,Minor,București,București,10,1,7
50356,44.428459,26.103711,11-01-2020 18:01,Major,București,București,10,1,40
50354,44.449466,26.067525,11-01-2020 17:27,Minor,București,București,10,1,17
50352,44.399762,26.048422,11-01-2020 14:43,Minor,București,București,8,0,2
50350,44.416827,26.119132,11-01-2020 14:17,Minor,București,București,7,0,2
50347,44.501281,26.080483,11-01-2020 14:08,Minor,București,București,10,0,16
50348,44.45309,26.102937,11-01-2020 14:26,Major,București,București,7,0,2
50345,44.462373,26.132424,11-01-2020 14:12,Minor,București,București,10,0,6
50346,44.440117,26.14659,11-01-2020 14:02,Minor,București,București,10,2,29
50343,44.45664,26.163008,11-01-2020 13:57,Major,București,Fundeni,10,2,34
50341,44.423675,26.00034,11-01-2020 13:07,Minor,București,București,10,0,5
50339,44.45496,25.959282,11-01-2020 12:44,Minor,București,,10,0,5
50338,44.41792,26.035726,11-01-2020 12:41,Minor,București,București,6,0,0
50337,44.446179,26.115447,11-01-2020 12:44,Major,București,București,10,1,16
50334,44.45258,26.101011,11-01-2020 11:16,Major,București,București,10,0,17
50335,44.420668,26.139261,11-01-2020 11:24,Minor,București,București,10,1,3
50333,44.505762,26.137051,11-01-2020 10:46,Minor,București,Voluntari,8,0,3
50329,44.372331,26.179998,11-01-2020 09:24,Major,București,Popești Leordeni,10,0,14
50330,44.394991,26.103223,11-01-2020 10:10,Minor,București,București,7,0,2
50328,44.505924,26.136956,11-01-2020 04:22,Major,București,Voluntari,9,1,4
50327,44.518065,26.078151,11-01-2020 03:42,Minor,București,,7,0,2
50326,44.429746,26.096092,11-01-2020 01:02,Major,București,București,10,4,3
