ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
157962,46.75944,23.562659,01-05-2020 18:44,Minor,Cluj,Cluj-Napoca,5,0,0
159813,46.752556,23.581699,02-05-2020 21:44,Minor,Cluj,Cluj-Napoca,5,0,0
161418,46.749093,23.57526,03-05-2020 18:29,Minor,Cluj,Cluj-Napoca,9,1,3
161665,46.770647,23.619826,03-05-2020 21:52,Major,Cluj,Cluj-Napoca,5,0,0
162168,46.784279,23.659873,04-05-2020 08:17,Minor,Cluj,Cluj-Napoca,9,0,4
162537,46.742511,23.484086,04-05-2020 12:44,Minor,Cluj,Florești,6,0,1
162605,46.699753,23.616041,04-05-2020 13:26,Minor,Cluj,Feleacu,7,0,2
162710,46.772708,23.560083,04-05-2020 14:39,Minor,Cluj,Cluj-Napoca,5,0,0
162711,46.785021,23.565066,04-05-2020 14:33,Minor,Cluj,Cluj-Napoca,5,0,0
167068,46.77246,23.575487,07-05-2020 11:52,Minor,Cluj,Cluj-Napoca,5,0,0
168423,46.774249,23.605661,08-05-2020 11:35,Minor,Cluj,Cluj-Napoca,5,0,0
168804,46.752379,23.525007,08-05-2020 16:23,Minor,Cluj,Florești,10,2,6
169968,46.751881,23.477861,09-05-2020 11:49,Major,Cluj,,6,0,1
170907,46.781349,23.621497,09-05-2020 22:59,Minor,Cluj,Cluj-Napoca,5,0,0
171348,46.767442,23.586638,10-05-2020 11:16,Major,Cluj,Cluj-Napoca,10,0,1
172959,46.760146,23.557385,11-05-2020 13:34,Minor,Cluj,Cluj-Napoca,5,0,0
173001,46.781357,23.621597,11-05-2020 14:19,Minor,Cluj,Cluj-Napoca,5,0,0
173597,46.771004,23.597978,11-05-2020 21:32,Major,Cluj,Cluj-Napoca,7,0,2
174718,46.78533,23.594302,12-05-2020 18:25,Minor,Cluj,Cluj-Napoca,5,0,0
175546,46.749439,23.499938,13-05-2020 11:41,Major,Cluj,Florești,5,0,0
175547,46.740967,23.480594,13-05-2020 11:56,Minor,Cluj,Florești,6,1,0
176795,46.787162,23.579901,14-05-2020 10:57,Minor,Cluj,Cluj-Napoca,5,0,0
178926,46.728199,23.656994,15-05-2020 18:40,Minor,Cluj,,5,0,0
179170,46.77752,23.586853,15-05-2020 22:27,Minor,Cluj,Cluj-Napoca,5,0,0
179490,46.747072,23.596977,16-05-2020 07:45,Minor,Cluj,Cluj-Napoca,5,0,0
181192,46.693581,23.626039,17-05-2020 10:44,Minor,Cluj,,10,0,15
181951,46.769023,23.616891,17-05-2020 19:26,Minor,Cluj,Cluj-Napoca,9,0,3
182050,46.780017,23.625133,17-05-2020 20:45,Minor,Cluj,,5,0,0
182562,46.757483,23.544814,18-05-2020 08:47,Minor,Cluj,Cluj-Napoca,10,1,4
182786,46.778665,23.642473,18-05-2020 11:22,Minor,Cluj,Cluj-Napoca,5,0,0
183095,46.785682,23.596378,18-05-2020 16:55,Minor,Cluj,Cluj-Napoca,5,0,0
183183,46.784789,23.563792,18-05-2020 17:39,Minor,Cluj,Cluj-Napoca,6,0,1
183184,46.798051,23.618093,18-05-2020 17:30,Minor,Cluj,Cluj-Napoca,5,0,0
183649,46.78296,23.642852,19-05-2020 05:36,Minor,Cluj,,5,0,0
184140,46.766234,23.59866,19-05-2020 13:25,Minor,Cluj,Cluj-Napoca,10,0,13
185160,46.774101,23.589982,20-05-2020 09:30,Minor,Cluj,,5,0,0
185237,46.784704,23.563327,20-05-2020 10:39,Major,Cluj,Cluj-Napoca,5,0,0
185624,46.780743,23.676342,20-05-2020 16:55,Major,Cluj,Cluj-Napoca,10,0,23
186816,46.779275,23.614323,21-05-2020 16:38,Minor,Cluj,Cluj-Napoca,10,0,7
187846,46.743396,23.484008,22-05-2020 13:32,Minor,Cluj,Florești,6,0,0
187910,46.783892,23.558757,22-05-2020 14:35,Minor,Cluj,Cluj-Napoca,6,0,1
188089,46.753813,23.57953,22-05-2020 16:21,Minor,Cluj,Cluj-Napoca,5,0,0
188090,46.771803,23.601481,22-05-2020 16:38,Minor,Cluj,Cluj-Napoca,8,0,2
188969,46.807764,23.606076,23-05-2020 10:01,Minor,Cluj,Cluj-Napoca,6,0,1
189476,46.747893,23.50605,23-05-2020 17:55,Major,Cluj,Florești,10,0,22
190399,46.737445,23.483341,24-05-2020 12:42,Minor,Cluj,Florești,5,0,0
191607,46.774193,23.59993,25-05-2020 12:04,Minor,Cluj,Cluj-Napoca,10,0,7
191918,46.768117,23.574978,25-05-2020 16:09,Minor,Cluj,Cluj-Napoca,9,0,4
193460,46.760371,23.562943,26-05-2020 20:50,Minor,Cluj,Cluj-Napoca,8,0,4
193461,46.770785,23.566335,26-05-2020 20:43,Minor,Cluj,Cluj-Napoca,5,0,0
194506,46.780586,23.673557,27-05-2020 17:27,Major,Cluj,Cluj-Napoca,10,0,8
