ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
350407,46.77214,23.595106,21-09-2020 15:25,Minor,Cluj,Cluj-Napoca,8,0,4
351496,46.765241,23.624125,22-09-2020 13:02,Minor,Cluj,Cluj-Napoca,6,1,0
351576,46.755396,23.536068,22-09-2020 14:56,Minor,Cluj,Cluj-Napoca,10,3,7
351640,46.783843,23.55696,22-09-2020 15:50,Minor,Cluj,Cluj-Napoca,10,0,4
351796,46.768309,23.584138,22-09-2020 17:54,Minor,Cluj,Cluj-Napoca,6,0,1
352692,46.689191,23.631325,23-09-2020 12:47,Major,Cluj,,10,2,13
352726,46.758763,23.551054,23-09-2020 16:37,Minor,Cluj,Cluj-Napoca,10,1,17
352811,46.73924,23.586623,24-09-2020 08:35,Minor,Cluj,Cluj-Napoca,10,0,7
352829,46.755721,23.593163,24-09-2020 09:47,Minor,Cluj,Cluj-Napoca,10,0,4
352887,46.782178,23.638714,24-09-2020 15:57,Minor,Cluj,Cluj-Napoca,7,0,2
352895,46.757721,23.541546,24-09-2020 16:47,Minor,Cluj,Cluj-Napoca,7,0,2
353002,46.797068,23.659865,25-09-2020 07:49,Minor,Cluj,Cluj-Napoca,7,0,3
353092,46.796612,23.617927,25-09-2020 19:53,Minor,Cluj,Cluj-Napoca,7,0,1
353093,46.752533,23.525646,25-09-2020 20:02,Minor,Cluj,Florești,8,0,3
353151,46.725307,23.603724,26-09-2020 06:57,Minor,Cluj,,10,0,40
353322,46.764149,23.574104,27-09-2020 08:50,Minor,Cluj,Cluj-Napoca,9,0,3
353383,46.764446,23.574571,27-09-2020 16:46,Minor,Cluj,Cluj-Napoca,10,0,9
