ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
332249,45.718308,24.230728,07-09-2020 02:05,Minor,DN7 Pitești-Sibiu,,7,0,2
332324,45.625135,24.262408,07-09-2020 06:12,Minor,DN7 Pitești-Sibiu,,10,6,17
332639,44.885444,24.793681,07-09-2020 12:04,Major,DN7 Pitești-Sibiu,Glâmbocu,10,0,48
332680,45.078839,24.387216,07-09-2020 13:58,Minor,DN7 Pitești-Sibiu,"Racovița, Budești",10,2,58
333286,45.714034,24.236038,07-09-2020 23:36,Minor,DN7 Pitești-Sibiu,,10,0,4
333384,44.999736,24.596579,08-09-2020 01:06,Minor,DN7 Pitești-Sibiu,,7,0,2
333889,45.126597,24.367103,08-09-2020 13:09,Major,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,1,7
334122,44.997462,24.607496,08-09-2020 17:29,Major,DN7 Pitești-Sibiu,Lintești,10,4,37
334206,45.013878,24.569583,08-09-2020 18:18,Major,DN7 Pitești-Sibiu,Morărești,10,9,75
334207,44.981754,24.654907,08-09-2020 18:55,Major,DN7 Pitești-Sibiu,"Zamfirești, Cotmeana",8,0,4
334429,45.207981,24.370468,08-09-2020 22:27,Major,DN7 Pitești-Sibiu,,10,0,7
334847,44.932232,24.711597,09-09-2020 08:45,Minor,DN7 Pitești-Sibiu,Drăganu-Olteni,8,1,4
334968,45.224322,24.341848,09-09-2020 10:53,Minor,DN7 Pitești-Sibiu,Seaca,10,2,21
335275,45.669816,24.26191,09-09-2020 15:48,Minor,DN7 Pitești-Sibiu,Tălmaciu,7,0,2
335347,45.129039,24.365344,09-09-2020 16:17,Minor,DN7 Pitești-Sibiu,Râmnicu Vâlcea,7,0,2
335437,45.097217,24.382131,09-09-2020 17:36,Minor,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,3,46
335499,45.335662,24.273982,09-09-2020 18:56,Minor,DN7 Pitești-Sibiu,Brezoi,6,0,0
336056,45.050948,24.461312,10-09-2020 07:50,Major,DN7 Pitești-Sibiu,"Căzănești, Milcoiu",10,3,53
336694,45.015431,24.544518,10-09-2020 17:46,Major,DN7 Pitești-Sibiu,Dedulești,6,1,0
336782,45.073733,24.397698,10-09-2020 18:19,Minor,DN7 Pitești-Sibiu,"Racovița, Budești",10,1,50
336856,45.710821,24.243839,10-09-2020 19:24,Minor,DN7 Pitești-Sibiu,,10,0,4
337599,45.170748,24.366395,11-09-2020 12:20,Minor,DN7 Pitești-Sibiu,Malul Vârtop,10,0,24
337733,45.127921,24.366174,11-09-2020 15:19,Minor,DN7 Pitești-Sibiu,Râmnicu Vâlcea,7,0,1
338519,44.99999,24.596276,12-09-2020 05:05,Major,DN7 Pitești-Sibiu,,10,28,189
338740,44.964967,24.683046,12-09-2020 10:48,Major,DN7 Pitești-Sibiu,Dumbrăvești,10,14,157
339092,44.994444,24.631959,12-09-2020 17:07,Minor,DN7 Pitești-Sibiu,,10,6,80
339684,45.053295,24.454621,13-09-2020 07:22,Major,DN7 Pitești-Sibiu,,10,12,186
339936,45.412819,24.29435,13-09-2020 12:29,Minor,DN7 Pitești-Sibiu,,10,1,4
340024,45.091829,24.383762,13-09-2020 14:53,Minor,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,0,10
340094,45.028379,24.48205,13-09-2020 15:10,Major,DN7 Pitești-Sibiu,Milcoiu,10,0,37
