ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
315403,47.151291,27.588331,24-08-2020 11:11,Minor,Iași,Iași,7,0,1
315404,47.141986,27.513436,24-08-2020 11:24,Minor,Iași,Miroslava,6,0,1
316035,47.180509,27.474431,24-08-2020 21:41,Minor,Iași,,8,0,5
316345,47.143442,27.499327,25-08-2020 07:28,Major,Iași,,10,1,11
316652,47.145122,27.607065,25-08-2020 12:10,Minor,Iași,Iași,6,1,0
316694,47.150161,27.595646,25-08-2020 13:22,Minor,Iași,Iași,6,0,0
317290,47.165435,27.590561,25-08-2020 23:15,Minor,Iași,Iași,9,0,4
317637,47.172474,27.519892,26-08-2020 08:35,Minor,Iași,Iași,6,0,0
318300,47.143848,27.570916,26-08-2020 18:10,Minor,Iași,Iași,6,0,0
318373,47.151475,27.567458,26-08-2020 19:40,Major,Iași,Iași,6,1,0
320078,47.167447,27.568649,28-08-2020 07:00,Minor,Iași,Iași,10,0,7
322431,47.166386,27.570671,29-08-2020 22:22,Minor,Iași,Iași,6,0,0
