ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
159287,45.736926,21.250434,02-05-2020 14:52,Minor,Timișoara,Timișoara,5,0,0
161510,45.774698,21.242823,03-05-2020 19:56,Minor,Timișoara,Timișoara,5,0,0
161798,45.799585,21.20956,03-05-2020 23:21,Minor,Timișoara,Dumbrăvița,5,0,0
164375,45.791746,21.238924,05-05-2020 16:13,Minor,Timișoara,Dumbrăvița,5,0,0
166286,45.721388,21.202902,06-05-2020 19:37,Minor,Timișoara,Timișoara,5,0,0
166484,45.729811,21.261827,06-05-2020 21:22,Minor,Timișoara,Timișoara,5,0,0
171777,45.712794,21.192307,10-05-2020 16:32,Minor,Timișoara,Timișoara,6,1,0
173157,45.738407,21.24088,11-05-2020 16:19,Minor,Timișoara,Timișoara,6,0,0
173253,45.765303,21.209786,11-05-2020 17:16,Minor,Timișoara,Timișoara,6,0,1
175734,45.699988,21.181749,13-05-2020 14:34,Minor,Timișoara,Timișoara,6,0,0
175902,45.752249,21.215612,13-05-2020 16:44,Major,Timișoara,,6,0,1
176880,45.794993,21.228644,14-05-2020 11:50,Major,Timișoara,Dumbrăvița,5,0,0
177116,45.748107,21.244072,14-05-2020 14:27,Minor,Timișoara,,5,0,0
179219,45.770456,21.230724,15-05-2020 23:07,Minor,Timișoara,Timișoara,6,0,0
180003,45.738863,21.208206,16-05-2020 13:34,Minor,Timișoara,Timișoara,6,0,0
180067,45.730139,21.265068,16-05-2020 14:37,Minor,Timișoara,Timișoara,6,0,0
180143,45.764159,21.233235,16-05-2020 15:55,Minor,Timișoara,Timișoara,5,0,0
182941,45.699369,21.181244,18-05-2020 14:07,Minor,Timișoara,Timișoara,6,0,0
183188,45.718059,21.335011,18-05-2020 17:19,Minor,Timișoara,,5,0,0
184182,45.738991,21.257151,19-05-2020 14:32,Minor,Timișoara,,6,0,1
184489,45.747494,21.209696,19-05-2020 18:28,Minor,Timișoara,Timișoara,5,0,0
184653,45.743954,21.236784,19-05-2020 20:13,Major,Timișoara,Timișoara,5,0,0
185164,45.734446,21.258625,20-05-2020 09:50,Minor,Timișoara,Timișoara,5,0,0
186507,45.743162,21.237327,21-05-2020 11:50,Minor,Timișoara,Timișoara,6,0,1
186996,45.719152,21.326762,21-05-2020 18:25,Minor,Timișoara,Moșnița Nouă,5,0,0
187070,45.731658,21.247343,21-05-2020 19:38,Minor,Timișoara,Timișoara,5,0,0
187175,45.752534,21.232916,21-05-2020 21:13,Minor,Timișoara,Timișoara,6,0,0
187570,45.767789,21.224405,22-05-2020 08:19,Minor,Timișoara,Timișoara,5,0,0
188095,45.71217,21.191793,22-05-2020 16:45,Minor,Timișoara,,6,0,1
188191,45.743579,21.237054,22-05-2020 17:40,Minor,Timișoara,Timișoara,8,0,3
189054,45.731658,21.247343,23-05-2020 10:10,Minor,Timișoara,Timișoara,5,0,0
189055,45.731266,21.304921,23-05-2020 10:55,Minor,Timișoara,,5,0,0
189289,45.721298,21.204887,23-05-2020 14:56,Major,Timișoara,Timișoara,6,0,0
190237,45.731662,21.247345,24-05-2020 10:09,Minor,Timișoara,Timișoara,7,1,1
190401,45.730317,21.201974,24-05-2020 12:27,Major,Timișoara,Timișoara,5,0,0
191711,45.758714,21.220715,25-05-2020 13:10,Major,Timișoara,Timișoara,5,0,0
191764,45.788534,21.237793,25-05-2020 14:43,Minor,Timișoara,Dumbrăvița,5,0,0
191832,45.756812,21.217094,25-05-2020 15:45,Minor,Timișoara,Timișoara,6,0,0
191924,45.773295,21.288991,25-05-2020 17:04,Minor,Timișoara,Ghiroda,5,0,0
192106,45.722727,21.309088,25-05-2020 18:28,Minor,Timișoara,Moșnița Nouă,5,0,0
195248,45.753805,21.233923,28-05-2020 10:58,Minor,Timișoara,Timișoara,5,0,0
195431,45.774537,21.221567,28-05-2020 13:09,Minor,Timișoara,Timișoara,6,0,0
195730,45.747814,21.285745,28-05-2020 18:02,Minor,Timișoara,Timișoara,5,0,0
195998,45.732543,21.182336,28-05-2020 22:34,Major,Timișoara,Timișoara,5,0,0
196731,45.818935,21.2693,29-05-2020 15:01,Minor,Timișoara,Dumbrăvița,5,0,0
198406,45.748005,21.235425,30-05-2020 18:04,Major,Timișoara,Timișoara,5,0,0
198475,45.719581,21.319321,30-05-2020 18:33,Major,Timișoara,Moșnița Nouă,5,0,0
199639,45.752197,21.215911,31-05-2020 17:47,Minor,Timișoara,Timișoara,5,0,0
199872,45.742206,21.212284,31-05-2020 22:00,Minor,Timișoara,Timișoara,5,0,0
