ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
67626,45.732461,21.260256,17-02-2020 08:23,Minor,Timișoara,Timișoara,8,0,3
67627,45.720263,21.166932,17-02-2020 08:51,Minor,Timișoara,Timișoara,6,0,0
68247,45.7618,21.26017,17-02-2020 17:45,Minor,Timișoara,Timișoara,6,0,0
68248,45.710824,21.190669,17-02-2020 17:47,Minor,Timișoara,Timișoara,6,0,1
69201,45.77293,21.25768,18-02-2020 12:32,Major,Timișoara,Timișoara,6,0,1
69342,45.773434,21.258682,18-02-2020 14:41,Major,Timișoara,Timișoara,8,0,4
69501,45.745656,21.254677,18-02-2020 17:02,Minor,Timișoara,,7,0,2
69502,45.738489,21.229362,18-02-2020 16:49,Minor,Timișoara,Timișoara,6,0,1
70623,45.740578,21.238475,19-02-2020 13:13,Minor,Timișoara,Timișoara,7,0,3
70672,45.762189,21.212947,19-02-2020 14:29,Minor,Timișoara,Timișoara,6,0,1
71795,45.760808,21.218412,20-02-2020 13:17,Minor,Timișoara,,8,0,2
72219,45.796366,21.241544,20-02-2020 19:22,Minor,Timișoara,Dumbrăvița,7,0,1
72220,45.820735,21.271564,20-02-2020 19:30,Minor,Timișoara,Dumbrăvița,10,0,11
73075,45.745321,21.253768,21-02-2020 12:06,Minor,Timișoara,Timișoara,7,0,1
73378,45.753833,21.232638,21-02-2020 17:57,Major,Timișoara,Timișoara,10,0,7
73379,45.812624,21.261624,21-02-2020 17:24,Minor,Timișoara,Dumbrăvița,8,0,3
73381,45.775411,21.301771,21-02-2020 17:10,Minor,Timișoara,,6,0,1
73432,45.791319,21.211187,21-02-2020 18:43,Major,Timișoara,,10,1,4
73433,45.711218,21.190999,21-02-2020 18:39,Minor,Timișoara,Timișoara,7,0,2
73434,45.778604,21.321607,21-02-2020 18:22,Minor,Timișoara,,10,0,8
74298,45.735236,21.218222,22-02-2020 11:06,Major,Timișoara,Timișoara,6,0,1
74787,45.731597,21.238503,22-02-2020 20:00,Minor,Timișoara,Timișoara,6,0,1
75814,45.780252,21.234768,23-02-2020 16:22,Major,Timișoara,,10,1,14
